"","date","field","treatment","TV","TC","vol_conc"
"98",2019-03-04,"2","C",1405,19106.45,13.598896797153
"99",2019-03-04,"2","P",930,1002.8,1.07827956989247
"100",2019-03-04,"3","C",230,1025.35,4.45804347826087
"101",2019-03-04,"3","P",55,687.45,12.4990909090909
"102",2019-03-04,"4","C",990,2.85,0.00287878787878788
"103",2019-03-04,"4","P",1880,1480.7,0.787606382978723
"104",2019-03-12,"1","C",70,800.2,11.4314285714286
"105",2019-03-12,"1","P",856,4868.94,5.68801401869159
"106",2019-03-12,"2","C",883,3707.15,4.19835787089468
"107",2019-03-12,"2","P",153,212.01,1.3856862745098
"108",2019-03-12,"3","C",235,471.3,2.00553191489362
"109",2019-03-12,"3","P",79,151.23,1.91430379746835
"110",2019-03-12,"4","C",1375,391.5,0.284727272727273
"111",2019-03-12,"4","P",1275,470.25,0.368823529411765
"112",2019-03-26,"1","C",188,1542.63,8.20547872340426
"113",2019-03-26,"1","P",965,282.6,0.292849740932642
"114",2019-03-26,"2","C",482,4879.03,10.122468879668
"115",2019-03-26,"2","P",80,139.2,1.74
"116",2019-03-26,"3","C",49,140.48,2.8669387755102
"117",2019-03-26,"3","P",122,131.98,1.08180327868852
"118",2019-03-26,"4","C",625,202.75,0.3244
"119",2019-03-26,"4","P",800,234.4,0.293
"120",2019-04-09,"1","C",48,647.63,13.4922916666667
"121",2019-04-09,"1","P",43,354.19,8.23697674418605
"122",2019-04-09,"3","C",612,70.08,0.114509803921569
"123",2019-04-09,"3","P",870,298.5,0.343103448275862
"124",2019-04-09,"4","C",152,258.52,1.70078947368421
"125",2019-04-09,"4","P",19,6.48,0.341052631578947
"126",2019-04-23,"1","C",123,1352.19705332,10.9934719782114
"127",2019-04-23,"1","P",1040,1311.20715464,1.26077611023077
"128",2019-04-23,"2","C",1520,11064.37759975,7.27919578930921
"129",2019-04-23,"2","P",1080,500.34405592,0.463281533259259
"130",2019-04-23,"3","C",145,3299.522728975,22.7553291653448
"131",2019-04-23,"3","P",128,1513.808019778,11.8266251545156
"132",2019-04-23,"4","C",1022,428.35355756,0.419132639491194
"133",2019-04-23,"4","P",515,0,0
"134",2019-05-07,"1","C",40,448.199880845,11.204997021125
"135",2019-05-07,"1","P",780,252.67199837,0.323938459448718
"136",2019-05-07,"2","C",753,3555.539696232,4.72183226591235
"137",2019-05-07,"2","P",85,123.83807996,1.45691858776471
"138",2019-05-07,"3","C",82,1309.01373174,15.9635820943902
"139",2019-05-07,"3","P",70,309.4058698,4.42008385428571
"140",2019-05-07,"4","C",130,0.3148841,0.00242218538461538
"141",2019-05-07,"4","P",328,5.189305106,0.015821052152439
