                         CRVO - ET SUMMARY - 2017 
                                                                                                                             
 DATE ETr  ALFP ALFM LAWN GRSD BLUB WGRN SGRN TBER POTA POTA POTA FCRN FCRN FCRN WGRP APPL POP1 POP2 POP3 SBRY PPMT PEAS SQSH 
 02/23 0.03  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/24 0.02  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/25 0.05  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/26 0.04  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/27 0.03  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/28 0.05  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 03/01 0.05  --   --   --   --   --   --  0.01  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 03/02 0.04  --   --   --   --   --   --  0.01  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 03/03 0.04  --   --   --   --   --   --  0.01  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 03/04 0.05  --   --   --   --   --   --  0.01  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 03/05 0.05  --   --   --   --   --  0.01 0.01  --   --   --   --   --   --   --   --   --   --   --   --  0.01  --   --   -- 
 03/06 0.04  --   --   --   --   --  0.01 0.01  --   --   --   --   --   --   --   --   --   --   --   --  0.01  --   --   -- 
 03/07 0.02  --   --   --   --   --  0.01 0.00  --   --   --   --   --   --   --   --   --   --   --   --  0.00  --   --   -- 
 03/08 0.02  --   --   --   --   --  0.01 0.00  --   --   --   --   --   --   --   --   --   --   --   --  0.00  --   --   -- 
 03/09 0.04  --   --   --   --   --  0.01 0.01  --   --   --   --   --   --   --   --   --   --   --   --  0.01  --   --   -- 
 03/10 0.10  --   --  0.02 0.03  --  0.04 0.02  --   --   --   --   --   --   --   --  0.02  --   --   --  0.02  --   --   -- 
