                         CRVO - ET SUMMARY - 2016 
                                                                                                                                                 
 DATE ETr  ALFP ALFM LAWN GRSD BLUB WGRN SGRN TBER POTA POTA POTA FCRN FCRN FCRN WGRP APPL POP1 POP2 POP3 SBRY PPMT PEAS SQSH BETS CBBG SPNC HZLN 
 06/16 0.19 0.19 0.16 0.15 0.06 0.18 0.12 0.19 0.17 0.18 0.18 0.17 0.17 0.15 0.12 0.12 0.19 0.09 0.15 0.19 0.17 0.18 0.07 0.12 0.19 0.18 0.16 0.21
 06/17 0.20 0.20 0.17 0.16 0.06 0.19 0.12 0.20 0.18 0.19 0.19 0.18 0.18 0.16 0.13 0.13 0.20 0.10 0.16 0.20 0.18 0.19 0.06 0.13 0.20 0.19 0.17 0.22
 06/18 0.19 0.19 0.16 0.15 0.06 0.18 0.11 0.18 0.17 0.18 0.18 0.17 0.18 0.15 0.13 0.12 0.19 0.09 0.15 0.19 0.17 0.18 0.06 0.12 0.19 0.18 0.17 0.21
 06/19 0.29 0.29 0.25 0.23 0.09 0.28 0.16 0.28 0.26 0.27 0.27 0.26 0.27 0.24 0.20 0.19 0.28 0.14 0.23 0.29 0.25 0.28 0.08 0.19 0.29 0.27 0.26 0.32
 06/20 0.27 0.27 0.23 0.22 0.08 0.26 0.15 0.25 0.24 0.25 0.25 0.24 0.26 0.22 0.19 0.18 0.27 0.13 0.21 0.27 0.24 0.26 0.07 0.18 0.27 0.26 0.24 0.30
 06/21 0.26 0.26 0.22 0.21 0.07 0.25 0.13 0.24 0.23 0.24 0.24 0.24 0.25 0.22 0.18 0.17 0.26 0.13 0.20 0.26 0.22 0.25 0.06 0.17 0.26 0.25 0.23 0.29
 06/22 0.26 0.26 0.22 0.21 0.07 0.25 0.13 0.23 0.23 0.24 0.24 0.24 0.25 0.22 0.19 0.17 0.26 0.13 0.20 0.26 0.22 0.25 0.06 0.17 0.26 0.25 0.23 0.29
 06/23 0.15 0.15 0.13 0.12 0.04 0.14 0.07 0.12 0.13 0.14 0.14 0.14 0.15 0.13 0.11 0.10 0.15 0.07 0.12 0.15 0.13 0.14 0.03 0.10 0.15 0.14 0.14 0.17
 06/24 0.17 0.17 0.14 0.14 0.05 0.16 0.07 0.13 0.15 0.16 0.16 0.16 0.17 0.15 0.13 0.11 0.17 0.08 0.13 0.17 0.14 0.16 0.03 0.11 0.17 0.16 0.15 0.19
 06/25 0.35 0.35 0.30 0.28 0.09 0.33 0.15 0.26 0.31 0.33 0.33 0.33 0.35 0.31 0.26 0.23 0.35 0.17 0.28 0.35 0.29 0.33 0.00 0.23 0.35 0.33 0.32 0.39
 06/26 0.35 0.35 0.30 0.28 0.09 0.33 0.14 0.25 0.30 0.33 0.33 0.33 0.35 0.31 0.27 0.23 0.35 0.17 0.28 0.35 0.29 0.33  --  0.23 0.35 0.33 0.32 0.39
 06/27 0.28 0.28 0.24 0.22 0.07 0.27 0.10 0.19 0.24 0.26 0.26 0.26 0.28 0.25 0.22 0.18 0.28 0.14 0.22 0.28 0.23 0.27  --  0.18 0.28 0.26 0.25 0.31
 06/28 0.33 0.33 0.28 0.26 0.09 0.31 0.11 0.22 0.28 0.31 0.31 0.31 0.33 0.30 0.26 0.21 0.33 0.16 0.26 0.33 0.27 0.31  --  0.21 0.33 0.31 0.30 0.36
 06/29 0.29 0.29 0.25 0.23 0.07 0.28 0.09 0.18 0.25 0.27 0.27 0.27 0.29 0.27 0.23 0.19 0.29 0.15 0.23 0.29 0.23 0.28  --  0.19 0.29 0.27 0.26 0.32
 06/30 0.33 0.33 0.28 0.26 0.08 0.31 0.10 0.20 0.28 0.30 0.31 0.31 0.33 0.31 0.27 0.21 0.33 0.17 0.27 0.33 0.26 0.31  --  0.21 0.33 0.31 0.29 0.36
 07/01 0.32 0.32 0.27 0.26 0.00 0.30 0.00 0.18 0.27 0.29 0.30 0.30 0.32 0.31 0.26 0.21 0.32 0.16 0.26 0.32 0.25 0.30  --  0.21 0.32 0.30 0.28 0.35
 07/02 0.33 0.33 0.28 0.26  --  0.31  --  0.17 0.28 0.30 0.31 0.31 0.33 0.32 0.28 0.21 0.33 0.17 0.27 0.33 0.25 0.31  --  0.21 0.33 0.30 0.29 0.36
 07/03 0.29 0.29 0.25 0.23  --  0.28  --  0.14 0.24 0.27 0.27 0.27 0.29 0.28 0.25 0.19 0.29 0.15 0.23 0.29 0.22 0.28  --  0.19 0.29 0.27 0.26 0.32
 07/04 0.27 0.27 0.23 0.22  --  0.26  --  0.12 0.22 0.25 0.25 0.25 0.27 0.27 0.23 0.18 0.27 0.14 0.22 0.27 0.20 0.26  --  0.18 0.27 0.25 0.24 0.30
 07/05 0.28 0.28 0.24 0.22  --  0.27  --  0.12 0.23 0.26 0.26 0.26 0.28 0.28 0.25 0.18 0.28 0.14 0.23 0.28 0.21 0.27  --  0.18 0.28 0.26 0.25 0.31
 07/06 0.26 0.26 0.22 0.21  --  0.25  --  0.10 0.21 0.24 0.24 0.24 0.26 0.26 0.23 0.17 0.26 0.13 0.21 0.26 0.19 0.25  --  0.17 0.26 0.24 0.23 0.29
 07/07 0.14 0.14 0.12 0.11  --  0.13  --  0.05 0.11 0.13 0.13 0.13 0.14 0.14 0.13 0.09 0.14 0.07 0.11 0.14 0.10 0.13  --  0.09 0.14 0.13 0.12 0.15
 07/08 0.19 0.19 0.16 0.15  --  0.18  --  0.06 0.15 0.17 0.17 0.18 0.19 0.19 0.17 0.12 0.19 0.10 0.16 0.19 0.13 0.18  --  0.12 0.19 0.17 0.17 0.21
 07/09 0.23 0.23 0.20 0.18  --  0.22  --  0.07 0.19 0.20 0.21 0.21 0.23 0.23 0.21 0.15 0.23 0.12 0.19 0.23 0.16 0.22  --  0.15 0.23 0.21 0.20 0.25
 07/10 0.13 0.13 0.11 0.10  --  0.12  --  0.00 0.00 0.12 0.12 0.12 0.13 0.13 0.12 0.08 0.13 0.07 0.11 0.13 0.09 0.12  --  0.08 0.13 0.12 0.11 0.14
 07/11 0.21 0.21 0.18 0.17  --  0.20  --   --   --  0.18 0.19 0.20 0.21 0.21 0.20 0.14 0.21 0.11 0.17 0.21 0.14 0.20  --  0.14 0.21 0.19 0.18 0.23
 07/12 0.19 0.19 0.16 0.15  --  0.18  --   --   --  0.17 0.17 0.18 0.19 0.19 0.18 0.12 0.19 0.10 0.16 0.19 0.12 0.18  --  0.12 0.19 0.17 0.17 0.21
 07/13 0.30 0.30 0.26 0.24  --  0.28  --   --   --  0.26 0.27 0.28 0.30 0.30 0.29 0.20 0.30 0.16 0.25 0.30 0.19 0.29  --  0.20 0.30 0.27 0.26 0.33
 07/14 0.34 0.34 0.29 0.27  --  0.32  --   --   --  0.29 0.30 0.31 0.34 0.34 0.34 0.22 0.34 0.18 0.28 0.34 0.21 0.32  --  0.22 0.34 0.30 0.30 0.37
 07/15 0.27 0.27 0.23 0.22  --  0.25  --   --   --  0.23 0.24 0.25 0.27 0.27 0.27 0.18 0.27 0.14 0.22 0.27 0.17 0.00  --  0.18 0.27 0.24 0.23 0.30
 07/16 0.14 0.14 0.12 0.11  --  0.13  --   --   --  0.12 0.12 0.13 0.14 0.14 0.14 0.09 0.14 0.07 0.12 0.14 0.08  --   --  0.09 0.14 0.12 0.12 0.15
 07/17 0.13 0.13 0.11 0.10  --  0.12  --   --   --  0.11 0.11 0.12 0.13 0.13 0.13 0.08 0.13 0.07 0.11 0.13 0.08  --   --  0.08 0.13 0.12 0.11 0.14
 07/18 0.18 0.18 0.15 0.14  --  0.17  --   --   --  0.15 0.15 0.16 0.18 0.18 0.18 0.12 0.18 0.10 0.15 0.18 0.10  --   --  0.12 0.18 0.16 0.15 0.20
 07/19 0.21 0.21 0.18 0.17  --  0.20  --   --   --  0.17 0.18 0.19 0.21 0.21 0.21 0.14 0.21 0.11 0.18 0.21 0.12  --   --  0.14 0.21 0.19 0.18 0.23
 07/20 0.26 0.26 0.22 0.21  --  0.24  --   --   --  0.21 0.22 0.23 0.25 0.26 0.26 0.17 0.26 0.14 0.22 0.26 0.14  --   --  0.17 0.26 0.23 0.22 0.29
 07/21 0.25 0.25 0.21 0.20  --  0.23  --   --   --  0.20 0.21 0.22 0.24 0.25 0.25 0.16 0.25 0.14 0.21 0.25 0.13  --   --  0.16 0.25 0.22 0.22 0.28
 07/22 0.21 0.21 0.18 0.17  --  0.20  --   --   --  0.17 0.17 0.18 0.20 0.21 0.21 0.14 0.21 0.11 0.18 0.21 0.11  --   --  0.14 0.21 0.18 0.18 0.23
 07/23 0.30 0.30 0.26 0.24  --  0.28  --   --   --  0.24 0.24 0.26 0.29 0.30 0.30 0.20 0.30 0.16 0.25 0.30 0.15  --   --  0.20 0.29 0.26 0.26 0.33
 07/24 0.34 0.34 0.29 0.27  --  0.32  --   --   --  0.28 0.28 0.29 0.33 0.34 0.34 0.22 0.34 0.19 0.29 0.34 0.17  --   --  0.22 0.33 0.30 0.29 0.37
 07/25 0.26 0.26 0.22 0.21  --  0.24  --   --   --  0.21 0.21 0.22 0.25 0.26 0.26 0.17 0.26 0.14 0.22 0.26 0.12  --   --  0.17 0.25 0.23 0.00 0.29
 07/26 0.33 0.33 0.28 0.26  --  0.31  --   --   --  0.27 0.27 0.28 0.31 0.33 0.33 0.21 0.33 0.18 0.28 0.33 0.15  --   --  0.21 0.32 0.29  --  0.36
 07/27 0.36 0.36 0.31 0.29  --  0.34  --   --   --  0.29 0.29 0.30 0.34 0.36 0.36 0.23 0.36 0.20 0.31 0.36 0.16  --   --  0.23 0.34 0.31  --  0.40
 07/28 0.42 0.42 0.36 0.34  --  0.39  --   --   --  0.34 0.33 0.35 0.39 0.41 0.42 0.27 0.42 0.23 0.36 0.42 0.18  --   --  0.27 0.40 0.36  --  0.46
 07/29 0.39 0.39 0.33 0.31  --  0.36  --   --   --  0.31 0.31 0.32 0.36 0.38 0.39 0.25 0.39 0.22 0.33 0.39 0.16  --   --  0.25 0.37 0.33  --  0.43
 07/30 0.32 0.32 0.27 0.26  --  0.30  --   --   --  0.25 0.25 0.26 0.30 0.31 0.32 0.21 0.32 0.18 0.27 0.32 0.12  --   --  0.21 0.30 0.27  --  0.35
 07/31 0.29 0.29 0.25 0.23  --  0.27  --   --   --  0.23 0.22 0.24 0.27 0.28 0.29 0.19 0.29 0.16 0.25 0.29 0.11  --   --  0.19 0.27 0.25  --  0.32
 08/01 0.33 0.33 0.28 0.26  --  0.31  --   --   --  0.26 0.25 0.27 0.30 0.32 0.33 0.21 0.33 0.19 0.28 0.33 0.12  --   --  0.21 0.31 0.00  --  0.36
 08/02 0.20 0.20 0.17 0.16  --  0.19  --   --   --  0.15 0.15 0.16 0.18 0.19 0.20 0.13 0.20 0.11 0.17 0.20 0.07  --   --  0.13 0.19  --   --  0.22
 08/03 0.36 0.36 0.31 0.29  --  0.33  --   --   --  0.27 0.27 0.29 0.33 0.35 0.36 0.23 0.36 0.20 0.31 0.36 0.12  --   --  0.23 0.33  --   --  0.40
 08/04 0.47 0.47 0.40 0.38  --  0.43  --   --   --  0.35 0.34 0.37 0.42 0.45 0.47 0.31 0.47 0.27 0.41 0.47 0.14  --   --  0.31 0.43  --   --  0.52
 08/05 0.29 0.29 0.25 0.23  --  0.27  --   --   --  0.22 0.21 0.23 0.26 0.28 0.29 0.19 0.29 0.17 0.25 0.29 0.08  --   --  0.00 0.26  --   --  0.32
 08/06 0.27 0.27 0.23 0.22  --  0.25  --   --   --  0.20 0.19 0.21 0.24 0.26 0.27 0.18 0.27 0.15 0.24 0.27 0.07  --   --   --  0.24  --   --  0.30
 08/07 0.20 0.20 0.17 0.16  --  0.18  --   --   --  0.14 0.14 0.15 0.18 0.19 0.20 0.13 0.20 0.11 0.17 0.20 0.05  --   --   --  0.18  --   --  0.22
 08/08 0.10 0.10 0.09 0.08  --  0.09  --   --   --  0.07 0.07 0.08 0.09 0.09 0.10 0.07 0.10 0.06 0.09 0.10 0.02  --   --   --  0.09  --   --  0.11
 08/09 0.11 0.11 0.09 0.09  --  0.10  --   --   --  0.08 0.07 0.08 0.10 0.10 0.11 0.07 0.11 0.06 0.10 0.11 0.02  --   --   --  0.10  --   --  0.12
 08/10 0.26 0.26 0.22 0.21  --  0.24  --   --   --  0.18 0.16 0.19 0.23 0.24 0.25 0.17 0.26 0.15 0.23 0.26 0.05  --   --   --  0.23  --   --  0.29
 08/11 0.30 0.30 0.26 0.24  --  0.28  --   --   --  0.20 0.18 0.21 0.26 0.28 0.29 0.20 0.30 0.17 0.26 0.30 0.05  --   --   --  0.26  --   --  0.33
 08/12 0.30 0.30 0.26 0.24  --  0.28  --   --   --  0.20 0.17 0.21 0.26 0.27 0.29 0.20 0.30 0.17 0.26 0.30 0.05  --   --   --  0.26  --   --  0.33
 08/13 0.29 0.29 0.25 0.23  --  0.27  --   --   --  0.19 0.16 0.20 0.25 0.26 0.28 0.19 0.29 0.17 0.26 0.29 0.04  --   --   --  0.25  --   --  0.32
 08/14 0.38 0.38 0.32 0.30  --  0.35  --   --   --  0.24 0.20 0.25 0.32 0.34 0.36 0.25 0.38 0.22 0.34 0.38 0.05  --   --   --  0.33  --   --  0.42
 08/15 0.34 0.34 0.29 0.27  --  0.31  --   --   --  0.20 0.00 0.22 0.29 0.31 0.32 0.22 0.34 0.20 0.30 0.34 0.00  --   --   --  0.29  --   --  0.37
 08/16 0.33 0.33 0.28 0.26  --  0.30  --   --   --  0.19  --  0.20 0.28 0.30 0.31 0.21 0.33 0.19 0.29 0.33  --   --   --   --  0.28  --   --  0.36
 08/17 0.31 0.31 0.26 0.25  --  0.28  --   --   --  0.17  --  0.18 0.26 0.28 0.29 0.20 0.31 0.18 0.28 0.31  --   --   --   --  0.27  --   --  0.34
 08/18 0.42 0.42 0.36 0.34  --  0.38  --   --   --  0.23  --  0.23 0.35 0.37 0.39 0.27 0.42 0.25 0.38 0.42  --   --   --   --  0.36  --   --  0.46
 08/19 0.56 0.56 0.48 0.45  --  0.51  --   --   --  0.29  --  0.30 0.46 0.49 0.52 0.36 0.55 0.33 0.50 0.56  --   --   --   --  0.47  --   --  0.62
 08/20 0.35 0.35 0.30 0.28  --  0.32  --   --   --  0.00  --  0.00 0.29 0.31 0.32 0.23 0.34 0.21 0.31 0.35  --   --   --   --  0.29  --   --  0.39
 08/21 0.25 0.25 0.21 0.20  --  0.23  --   --   --   --   --   --  0.20 0.22 0.23 0.16 0.24 0.15 0.22 0.25  --   --   --   --  0.21  --   --  0.28
 08/22 0.31 0.31 0.26 0.25  --  0.28  --   --   --   --   --   --  0.25 0.27 0.28 0.20 0.29 0.19 0.28 0.31  --   --   --   --  0.26  --   --  0.34
 08/23 0.29 0.29 0.25 0.23  --  0.26  --   --   --   --   --   --  0.23 0.25 0.26 0.19 0.27 0.17 0.26 0.29  --   --   --   --  0.24  --   --  0.32
 08/24 0.41 0.41 0.35 0.33  --  0.37  --   --   --   --   --   --  0.33 0.35 0.37 0.27 0.37 0.25 0.37 0.41  --   --   --   --  0.34  --   --  0.45
 08/25 0.56 0.56 0.48 0.45  --  0.51  --   --   --   --   --   --  0.00 0.48 0.50 0.36 0.50 0.34 0.51 0.56  --   --   --   --  0.46  --   --  0.62
 08/26 0.43 0.43 0.37 0.34  --  0.39  --   --   --   --   --   --   --  0.36 0.39 0.28 0.37 0.26 0.39 0.43  --   --   --   --  0.35  --   --  0.47
 08/27 0.24 0.24 0.20 0.19  --  0.22  --   --   --   --   --   --   --  0.20 0.21 0.16 0.21 0.15 0.22 0.24  --   --   --   --  0.19  --   --  0.26
 08/28 0.24 0.24 0.20 0.19  --  0.22  --   --   --   --   --   --   --  0.20 0.21 0.16 0.20 0.15 0.22 0.24  --   --   --   --  0.19  --   --  0.26
 08/29 0.23 0.23 0.20 0.18  --  0.21  --   --   --   --   --   --   --  0.19 0.20 0.15 0.19 0.14 0.21 0.23  --   --   --   --  0.18  --   --  0.25
 08/30 0.13 0.13 0.11 0.10  --  0.12  --   --   --   --   --   --   --  0.11 0.11 0.08 0.11 0.08 0.12 0.13  --   --   --   --  0.10  --   --  0.14
 08/31 0.11 0.11 0.09 0.09  --  0.10  --   --   --   --   --   --   --  0.09 0.10 0.07 0.09 0.07 0.10 0.11  --   --   --   --  0.09  --   --  0.12
 09/01 0.12 0.12 0.10 0.10  --  0.11  --   --   --   --   --   --   --  0.10 0.10 0.08 0.09 0.07 0.11 0.12  --   --   --   --  0.09  --   --  0.13
 09/02 0.18 0.18 0.15 0.14  --  0.16  --   --   --   --   --   --   --  0.15 0.16 0.12 0.14 0.11 0.17 0.18  --   --   --   --  0.14  --   --  0.19
 09/03 0.15 0.15 0.13 0.12  --  0.14  --   --   --   --   --   --   --  0.12 0.13 0.10 0.11 0.09 0.14 0.15  --   --   --   --  0.11  --   --  0.16
 09/04 0.15 0.15 0.13 0.12  --  0.14  --   --   --   --   --   --   --  0.12 0.13 0.10 0.11 0.09 0.14 0.15  --   --   --   --  0.11  --   --  0.16
 09/05 0.16 0.16 0.14 0.13  --  0.14  --   --   --   --   --   --   --  0.00 0.14 0.10 0.12 0.10 0.15 0.16  --   --   --   --  0.12  --   --  0.17
 09/06 0.10 0.10 0.09 0.08  --  0.09  --   --   --   --   --   --   --   --  0.08 0.07 0.07 0.06 0.09 0.10  --   --   --   --  0.07  --   --  0.11
 09/07 0.15 0.15 0.13 0.12  --  0.13  --   --   --   --   --   --   --   --  0.13 0.10 0.11 0.09 0.14 0.15  --   --   --   --  0.11  --   --  0.16
 09/08 0.22 0.22 0.19 0.18  --  0.20  --   --   --   --   --   --   --   --  0.18 0.14 0.15 0.14 0.21 0.22  --   --   --   --  0.16  --   --  0.23
 09/09 0.34 0.34 0.29 0.27  --  0.30  --   --   --   --   --   --   --   --  0.28 0.22 0.23 0.22 0.32 0.34  --   --   --   --  0.25  --   --  0.36
 09/10 0.31 0.31 0.26 0.25  --  0.28  --   --   --   --   --   --   --   --  0.26 0.20 0.21 0.20 0.29 0.31  --   --   --   --  0.23  --   --  0.33
 09/11 0.22 0.22 0.19 0.18  --  0.20  --   --   --   --   --   --   --   --  0.18 0.14 0.15 0.14 0.21 0.22  --   --   --   --  0.16  --   --  0.23
 09/12 0.35 0.35 0.30 0.28  --  0.31  --   --   --   --   --   --   --   --  0.29 0.23 0.23 0.22 0.33 0.35  --   --   --   --  0.25  --   --  0.37
 09/13 0.42 0.42 0.36 0.34  --  0.37  --   --   --   --   --   --   --   --  0.34 0.27 0.27 0.27 0.40 0.42  --   --   --   --  0.30  --   --  0.44
 09/14 0.22 0.22 0.19 0.18  --  0.19  --   --   --   --   --   --   --   --  0.18 0.14 0.14 0.14 0.21 0.22  --   --   --   --  0.16  --   --  0.23
 09/15 0.20 0.20 0.17 0.16  --  0.18  --   --   --   --   --   --   --   --  0.00 0.00 0.12 0.13 0.19 0.20  --   --   --   --  0.00  --   --  0.21
 09/16 0.16 0.16 0.14 0.13  --  0.14  --   --   --   --   --   --   --   --   --   --  0.10 0.10 0.15 0.16  --   --   --   --   --   --   --  0.17
 09/17 0.05 0.05 0.04 0.04  --  0.04  --   --   --   --   --   --   --   --   --   --  0.03 0.03 0.05 0.05  --   --   --   --   --   --   --  0.05
 09/18 0.08 0.08 0.07 0.06  --  0.07  --   --   --   --   --   --   --   --   --   --  0.05 0.05 0.08 0.08  --   --   --   --   --   --   --  0.08
 09/19 0.08 0.08 0.07 0.06  --  0.07  --   --   --   --   --   --   --   --   --   --  0.04 0.05 0.08 0.08  --   --   --   --   --   --   --  0.08
 09/20 0.16 0.16 0.14 0.13  --  0.14  --   --   --   --   --   --   --   --   --   --  0.09 0.10 0.15 0.16  --   --   --   --   --   --   --  0.16
 09/21 0.16 0.16 0.14 0.13  --  0.14  --   --   --   --   --   --   --   --   --   --  0.08 0.10 0.15 0.16  --   --   --   --   --   --   --  0.16
 09/22 0.12 0.12 0.10 0.10  --  0.10  --   --   --   --   --   --   --   --   --   --  0.06 0.08 0.11 0.12  --   --   --   --   --   --   --  0.12
 09/23 0.06 0.06 0.05 0.05  --  0.05  --   --   --   --   --   --   --   --   --   --  0.03 0.04 0.06 0.06  --   --   --   --   --   --   --  0.06
 09/24 0.13 0.13 0.11 0.10  --  0.11  --   --   --   --   --   --   --   --   --   --  0.06 0.09 0.12 0.13  --   --   --   --   --   --   --  0.13
 09/25 0.24 0.24 0.20 0.19  --  0.21  --   --   --   --   --   --   --   --   --   --  0.11 0.16 0.23 0.24  --   --   --   --   --   --   --  0.24
 09/26 0.19 0.19 0.16 0.15  --  0.16  --   --   --   --   --   --   --   --   --   --  0.09 0.13 0.18 0.19  --   --   --   --   --   --   --  0.19
 09/27 0.20 0.20 0.17 0.16  --  0.17  --   --   --   --   --   --   --   --   --   --  0.09 0.13 0.19 0.20  --   --   --   --   --   --   --  0.20
 09/28 0.19 0.19 0.16 0.15  --  0.16  --   --   --   --   --   --   --   --   --   --  0.08 0.13 0.18 0.19  --   --   --   --   --   --   --  0.19
 09/29 0.13 0.13 0.11 0.10  --  0.11  --   --   --   --   --   --   --   --   --   --  0.05 0.09 0.13 0.13  --   --   --   --   --   --   --  0.13
 09/30 0.10 0.10 0.09 0.08  --  0.00  --   --   --   --   --   --   --   --   --   --  0.04 0.07 0.10 0.10  --   --   --   --   --   --   --  0.10
 10/01 0.13 0.13 0.11 0.10  --   --   --   --   --   --   --   --   --   --   --   --  0.00 0.09 0.13 0.13  --   --   --   --   --   --   --  0.13
 10/02 0.06 0.06 0.05 0.05  --   --   --   --   --   --   --   --   --   --   --   --   --  0.04 0.06 0.06  --   --   --   --   --   --   --  0.06
 10/03 0.04 0.04 0.03 0.03  --   --   --   --   --   --   --   --   --   --   --   --   --  0.03 0.04 0.04  --   --   --   --   --   --   --  0.04
 10/04 0.08 0.08 0.07 0.06  --   --   --   --   --   --   --   --   --   --   --   --   --  0.05 0.08 0.08  --   --   --   --   --   --   --  0.08
 10/05 0.06 0.06 0.05 0.05  --   --   --   --   --   --   --   --   --   --   --   --   --  0.04 0.06 0.06  --   --   --   --   --   --   --  0.06
 10/06 0.07 0.07 0.06 0.06  --   --   --   --   --   --   --   --   --   --   --   --   --  0.05 0.07 0.07  --   --   --   --   --   --   --  0.07
 10/07 0.05 0.05 0.04 0.04  --   --   --   --   --   --   --   --   --   --   --   --   --  0.03 0.05 0.05  --   --   --   --   --   --   --  0.05
 10/08 0.08 0.08 0.07 0.06  --   --   --   --   --   --   --   --   --   --   --   --   --  0.05 0.08 0.08  --   --   --   --   --   --   --  0.08
 10/09 0.09 0.09 0.08 0.07  --   --   --   --   --   --   --   --   --   --   --   --   --  0.06 0.09 0.09  --   --   --   --   --   --   --  0.09
 10/10 0.08 0.08 0.07 0.06  --   --   --   --   --   --   --   --   --   --   --   --   --  0.06 0.08 0.08  --   --   --   --   --   --   --  0.08
 10/11 0.09 0.09 0.08 0.07  --   --   --   --   --   --   --   --   --   --   --   --   --  0.06 0.09 0.09  --   --   --   --   --   --   --  0.09
 10/12 0.04 0.04 0.03 0.03  --   --   --   --   --   --   --   --   --   --   --   --   --  0.03 0.04 0.04  --   --   --   --   --   --   --  0.04
 10/13 0.03 0.03 0.03 0.02  --   --   --   --   --   --   --   --   --   --   --   --   --  0.02 0.03 0.03  --   --   --   --   --   --   --  0.03
 10/14 0.12 0.12 0.10 0.10  --   --   --   --   --   --   --   --   --   --   --   --   --  0.08 0.12 0.12  --   --   --   --   --   --   --  0.11
 10/15 0.00 0.00 0.00 0.00  --   --   --   --   --   --   --   --   --   --   --   --   --  0.00 0.00 0.00  --   --   --   --   --   --   --  0.00
