Site,Date,probe,soil_moisture,temp_C
L015,7/6/15 8:14,5TM Moisture/Temp,0.229 m³/m³,21.5 °C
L015,8/31/2015 8:37 AM,5TM Moisture/Temp,0.218 m³/m³,21.3 °C
L015,11/9/2015 9:35 AM,5TM Moisture/Temp,0.201 m³/m³,14.7 °C
L015,3/21/2016 12:19 AM,5TM Moisture/Temp,0.258 m³/m³,9.9 °C
L015,4/18/2016 9:17 AM,5TM Moisture/Temp,0.244 m³/m³,12.4 °C
L015,4/18/2016 9:17 AM,5TM Moisture/Temp,0.244 m³/m³,12.4 °C
L015,7/24/2016 9:30 PM,5TM Moisture/Temp,0.185 m³/m³,19.1 °C
L015,1/17/2017 5:35 AM,5TM Moisture/Temp,0.245 m³/m³,6.2 °C
L015,1/23/2017 5:38 AM,5TM Moisture/Temp,0.251 m³/m³,6.5 °C
L016,1/7/15 12:28,5TM Moisture/Temp,0.198 m³/m³,9.2 °C
L016,1/12/15 13:05,5TM Moisture/Temp,0.253 m³/m³,9.5 °C
L016,1/20/15 14:22,5TM Moisture/Temp,0.433 m³/m³,9.5 °C
L016,1/26/15 12:21,5TM Moisture/Temp,0.313 m³/m³,9.8 °C
L016,2/2/15 12:19,5TM Moisture/Temp,0.475 m³/m³,10.2 °C
L016,2/10/15 13:56,5TM Moisture/Temp,0.433 m³/m³,10.9 °C
L016,2/17/15 11:55,5TM Moisture/Temp,0.315 m³/m³,11.0 °C
L016,2/23/15 12:53,5TM Moisture/Temp,0.310 m³/m³,10.9 °C
L016,3/2/15 12:12,5TM Moisture/Temp,0.390 m³/m³,10.6 °C
L016,3/9/15 13:12,5TM Moisture/Temp,0.311 m³/m³,10.4 °C
L016,3/16/15 12:14,5TM Moisture/Temp,0.494 m³/m³,11.5 °C
L016,3/23/15 11:54,5TM Moisture/Temp,0.342 m³/m³,11.8 °C
L016,3/30/15 11:30,5TM Moisture/Temp,0.315 m³/m³,12.2 °C
L016,4/6/15 12:35,5TM Moisture/Temp,0.313 m³/m³,12.2 °C
L016,4/13/15 13:02,5TM Moisture/Temp,0.312 m³/m³,12.0 °C
L016,4/20/15 11:32,5TM Moisture/Temp,0.311 m³/m³,12.3 °C
L016,4/27/15 9:33,5TM Moisture/Temp,0.308 m³/m³,12.8 °C
L016,5/4/15 12:10,5TM Moisture/Temp,0.305 m³/m³,13.4 °C
L016,5/11/15 11:54,5TM Moisture/Temp,0.303 m³/m³,13.9 °C
L016,5/18/15 9:56,5TM Moisture/Temp,0.301 m³/m³,14.3 °C
L016,5/26/15 10:38,5TM Moisture/Temp,0.298 m³/m³,15.0 °C
L016,6/8/15 11:51,5TM Moisture/Temp,0.287 m³/m³,16.3 °C
L016,6/15/15 13:41,5TM Moisture/Temp,0.238 m³/m³,17.1 °C
L016,6/22/15 11:07,5TM Moisture/Temp,0.206 m³/m³,17.4 °C
L016,6/29/15 10:59,5TM Moisture/Temp,0.206 m³/m³,18.2 °C
L016,7/6/15 11:12,5TM Moisture/Temp,0.198 m³/m³,18.9 °C
L016,7/13/15 11:17,5TM Moisture/Temp,0.198 m³/m³,19.0 °C
L016,7/16/15 9:39,5TM Moisture/Temp,0.197 m³/m³,18.8 °C
L016,7/27/15 9:40,5TM Moisture/Temp,0.184 m³/m³,18.7 °C
L016,8/3/15 10:34,5TM Moisture/Temp,0.161 m³/m³,19.0 °C
L016,8/10/15 11:15,5TM Moisture/Temp,0.156 m³/m³,19.7 °C
L016,8/17/15 11:01,5TM Moisture/Temp,0.161 m³/m³,20.4 °C
L016,8/24/15 10:19,5TM Moisture/Temp,0.170 m³/m³,20.7 °C
L016,8/31/15 10:21,5TM Moisture/Temp,0.172 m³/m³,20.5 °C
L016,9/8/15 11:19,5TM Moisture/Temp,0.287 m³/m³,19.6 °C
L016,9/14/15 10:39,5TM Moisture/Temp,0.294 m³/m³,19.8 °C
L016,9/21/15 8:51,5TM Moisture/Temp,0.284 m³/m³,19.1 °C
L016,9/28/15 11:50,5TM Moisture/Temp,0.273 m³/m³,18.8 °C
L016,10/5/15 13:12,5TM Moisture/Temp,0.283 m³/m³,18.1 °C
L016,10/13/15 13:43,5TM Moisture/Temp,0.276 m³/m³,17.8 °C
L016,10/19/15 12:12,5TM Moisture/Temp,0.274 m³/m³,17.4 °C
L016,10/26/15 11:32,5TM Moisture/Temp,0.272 m³/m³,16.8 °C
L016,11/3/15 14:14,5TM Moisture/Temp,0.329 m³/m³,16.1 °C
L016,11/9/15 9:35,5TM Moisture/Temp,0.201 m³/m³,14.7 °C
L016,11/9/15 13:00,5TM Moisture/Temp,0.334 m³/m³,15.1 °C
L016,11/13/15 12:13,5TM Moisture/Temp,0.305 m³/m³,14.4 °C
L016,11/28/15 14:31,5TM Moisture/Temp,0.298 m³/m³,12.1 °C
L016,12/7/15 13:59,5TM Moisture/Temp,0.484 m³/m³,10.1 °C
L016,12/14/15 14:40,5TM Moisture/Temp,0.484 m³/m³,10.9 °C
L016,12/21/15 13:25,5TM Moisture/Temp,0.484 m³/m³,10.2 °C
L016,12/28/15 12:32,5TM Moisture/Temp,0.494 m³/m³,9.4 °C
L016,1/6/16 12:05,5TM Moisture/Temp,0.316 m³/m³,8.2 °C
L016,1/11/16 13:38,5TM Moisture/Temp,0.311 m³/m³,8.3 °C
L016,1/25/16 11:54,5TM Moisture/Temp,0.320 m³/m³,9.3 °C
L016,2/8/16 14:46,5TM Moisture/Temp,0.316 m³/m³,9.6 °C
L016,2/16/16 12:59,5TM Moisture/Temp,0.325 m³/m³,10.2 °C
L016,2/22/16 3:37,5TM Moisture/Temp,0.328 m³/m³,10.3 °C
L016,2/29/16 3:14,5TM Moisture/Temp,0.319 m³/m³,10.4 °C
L016,3/7/16 4:49,5TM Moisture/Temp,0.428 m³/m³,10.7 °C
L016,3/21/16 0:19,5TM Moisture/Temp,0.258 m³/m³,9.9 °C
L016,3/21/16 3:00,5TM Moisture/Temp,0.424 m³/m³,11.0 °C
L016,4/11/16 12:05,5TM Moisture/Temp,0.322 m³/m³,13.0 °C
L016,4/18/16 11:42,5TM Moisture/Temp,0.324 m³/m³,13.1 °C
L016,5/2/16 13:06,5TM Moisture/Temp,0.319 m³/m³,13.8 °C
L016,5/9/16 12:05,5TM Moisture/Temp,0.315 m³/m³,14.6 °C
L016,5/16/16 11:54,5TM Moisture/Temp,0.314 m³/m³,15.2 °C
L016,5/23/16 11:17,5TM Moisture/Temp,0.311 m³/m³,15.1 °C
L016,6/6/16 13:05,5TM Moisture/Temp,0.306 m³/m³,16.0 °C
L016,6/13/16 2:10,5TM Moisture/Temp,0.299 m³/m³,16.7 °C
L016,6/20/16 0:41,5TM Moisture/Temp,0.313 m³/m³,16.2 °C
L016,6/27/16 1:44,5TM Moisture/Temp,0.301 m³/m³,16.4 °C
L016,7/5/16 0:29,5TM Moisture/Temp,0.241 m³/m³,17.1 °C
L016,7/11/16 0:55,5TM Moisture/Temp,0.236 m³/m³,17.3 °C
L016,7/24/16 21:30,5TM Moisture/Temp,0.185 m³/m³,19.1 °C
L016,7/25/16 0:02,5TM Moisture/Temp,0.216 m³/m³,17.3 °C
L016,8/1/16 22:38,5TM Moisture/Temp,0.200 m³/m³,17.8 °C
L016,8/15/16 23:41,5TM Moisture/Temp,0.181 m³/m³,18.2 °C
L016,8/22/16 23:34,5TM Moisture/Temp,0.170 m³/m³,19.3 °C
L016,9/7/16 1:06,5TM Moisture/Temp,0.188 m³/m³,19.7 °C
L016,9/13/16 0:41,5TM Moisture/Temp,0.189 m³/m³,19.6 °C
L016,9/19/16 23:45,5TM Moisture/Temp,0.291 m³/m³,19.4 °C
L016,10/3/16 23:57,5TM Moisture/Temp,0.288 m³/m³,18.2 °C
L016,10/11/16 0:04,5TM Moisture/Temp,0.311 m³/m³,17.2 °C
L016,10/17/16 7:17,5TM Moisture/Temp,0.475 m³/m³,14.5 °C
L016,10/24/16 7:09,5TM Moisture/Temp,0.322 m³/m³,15.0 °C
L016,10/31/16 8:36,5TM Moisture/Temp,0.382 m³/m³,14.4 °C
L016,11/7/16 8:57,5TM Moisture/Temp,0.329 m³/m³,14.2 °C
L016,11/14/16 8:36,5TM Moisture/Temp,0.461 m³/m³,14.1 °C
L016,11/21/16 8:00,5TM Moisture/Temp,0.373 m³/m³,13.2 °C
L016,11/28/16 8:35,5TM Moisture/Temp,0.357 m³/m³,12.1 °C
L016,12/5/16 9:10,5TM Moisture/Temp,0.337 m³/m³,11.3 °C
L016,12/12/16 8:05,5TM Moisture/Temp,0.386 m³/m³,9.5 °C
L016,12/19/16 8:10,5TM Moisture/Temp,0.319 m³/m³,8.7 °C
L016,1/3/17 7:56,5TM Moisture/Temp,0.369 m³/m³,8.0 °C
L016,1/9/17 10:39,5TM Moisture/Temp,0.448 m³/m³,3.7 °C
L016,1/17/17 5:35,5TM Moisture/Temp,0.245 m³/m³,6.2 °C
L016,1/23/17 5:38,5TM Moisture/Temp,0.251 m³/m³,6.5 °C
L016,1/30/17 7:15,5TM Moisture/Temp,0.320 m³/m³,7.4 °C
L016,2/6/17 9:24,5TM Moisture/Temp,0.457 m³/m³,7.3 °C
L016,2/13/17 8:56,5TM Moisture/Temp,0.346 m³/m³,8.4 °C
L016,2/27/17 8:27,5TM Moisture/Temp,0.377 m³/m³,8.2 °C
L016,3/6/17 13:41,5TM Moisture/Temp,0.444 m³/m³,6.8 °C
L016,3/13/17 13:01,5TM Moisture/Temp,0.363 m³/m³,8.8 °C
L016,3/27/17 11:57,5TM Moisture/Temp,0.461 m³/m³,10.1 °C
L016,4/3/17 11:47,5TM Moisture/Temp,0.348 m³/m³,10.4 °C
L016,4/10/17 11:46,5TM Moisture/Temp,0.365 m³/m³,10.9 °C
L016,4/17/17 10:42,5TM Moisture/Temp,0.361 m³/m³,10.9 °C
L016,4/24/17 11:47,5TM Moisture/Temp,0.460 m³/m³,11.5 °C
L016,5/1/17 13:05,5TM Moisture/Temp,0.348 m³/m³,11.7 °C
L016,5/8/17 12:36,5TM Moisture/Temp,0.342 m³/m³,12.7 °C
L016,5/22/17 12:03,5TM Moisture/Temp,0.332 m³/m³,13.3 °C
L016,5/30/17 12:23,5TM Moisture/Temp,0.327 m³/m³,15.0 °C
L016,6/5/17 12:51,5TM Moisture/Temp,0.318 m³/m³,15.6 °C
L016,6/12/17 12:36,5TM Moisture/Temp,0.346 m³/m³,15.8 °C
L016,6/26/17 11:35,5TM Moisture/Temp,0.313 m³/m³,16.7 °C
L016,7/3/17 11:40,5TM Moisture/Temp,0.267 m³/m³,17.6 °C
L016,7/10/17 12:12,5TM Moisture/Temp,0.212 m³/m³,18.7 °C
L016,7/17/17 12:21,5TM Moisture/Temp,0.190 m³/m³,19.6 °C
L016,7/24/17 11:13,5TM Moisture/Temp,0.174 m³/m³,19.9 °C
L016,7/31/17 12:58,5TM Moisture/Temp,0.164 m³/m³,21.1 °C
L016,8/7/17 13:15,5TM Moisture/Temp,0.156 m³/m³,22.0 °C
L016,8/14/17 11:06,5TM Moisture/Temp,0.154 m³/m³,22.3 °C
L016,8/22/17 12:00,5TM Moisture/Temp,0.153 m³/m³,21.6 °C
L016,8/28/17 10:02,5TM Moisture/Temp,0.152 m³/m³,21.6 °C
L016,9/5/17 12:10,5TM Moisture/Temp,0.149 m³/m³,21.9 °C
L016,9/11/17 12:37,5TM Moisture/Temp,0.149 m³/m³,21.7 °C
L016,9/18/17 11:25,5TM Moisture/Temp,0.147 m³/m³,21.2 °C
L016,10/2/17 11:39,5TM Moisture/Temp,0.145 m³/m³,19.0 °C
L016,10/10/17 13:16,5TM Moisture/Temp,0.144 m³/m³,17.7 °C
L016,10/16/17 12:13,5TM Moisture/Temp,0.142 m³/m³,16.4 °C
L016,10/23/17 12:55,5TM Moisture/Temp,0.298 m³/m³,15.5 °C
L016,10/30/17 2:42,5TM Moisture/Temp,0.282 m³/m³,15.3 °C
L016,11/6/17 3:29,5TM Moisture/Temp,0.324 m³/m³,14.1 °C
L016,11/13/17 3:44,5TM Moisture/Temp,0.389 m³/m³,12.8 °C
L016,11/13/17 7:53,5TM Moisture/Temp,0.437 m³/m³,12.1 °C
L016,11/20/17 8:09,5TM Moisture/Temp,0.314 m³/m³,12.4 °C
L016,11/27/17 8:39,5TM Moisture/Temp,0.309 m³/m³,11.6 °C
L016,12/4/17 8:27,5TM Moisture/Temp,0.295 m³/m³,10.1 °C
L016,12/11/17 7:01,5TM Moisture/Temp,0.292 m³/m³,8.7 °C
