Site,Date,probe,soil_moisture,temp_C
L009,7/18/16 1:42,5TM Moisture/Temp,0.089 m³/m³,15.9 °C
L009,7/25/16 2:12,5TM Moisture/Temp,0.084 m³/m³,16.1 °C
L009,8/1/16 20:55,5TM Moisture/Temp,0.080 m³/m³,16.8 °C
L009,8/8/16 22:11,5TM Moisture/Temp,0.080 m³/m³,16.7 °C
L009,8/16/16 2:18,5TM Moisture/Temp,0.079 m³/m³,17.0 °C
L009,8/23/16 0:38,5TM Moisture/Temp,0.078 m³/m³,18.0 °C
L009,8/30/16 1:52,5TM Moisture/Temp,0.076 m³/m³,18.3 °C
L009,9/7/16 2:53,5TM Moisture/Temp,0.074 m³/m³,17.9 °C
L009,9/20/16 1:23,5TM Moisture/Temp,0.070 m³/m³,17.5 °C
L009,10/4/16 1:35,5TM Moisture/Temp,0.067 m³/m³,16.5 °C
L009,10/11/16 1:47,5TM Moisture/Temp,0.066 m³/m³,15.9 °C
L009,10/17/16 9:40,5TM Moisture/Temp,0.068 m³/m³,15.2 °C
L009,10/24/16 8:48,5TM Moisture/Temp,0.121 m³/m³,14.7 °C
L009,10/31/16 10:32,5TM Moisture/Temp,0.124 m³/m³,14.3 °C
L009,11/7/16 11:19,5TM Moisture/Temp,0.126 m³/m³,13.9 °C
L009,11/14/16 11:15,5TM Moisture/Temp,0.119 m³/m³,13.7 °C
L009,11/21/16 10:14,5TM Moisture/Temp,0.122 m³/m³,12.9 °C
L009,11/28/16 10:38,5TM Moisture/Temp,0.122 m³/m³,11.8 °C
L009,12/5/16 10:56,5TM Moisture/Temp,0.121 m³/m³,10.9 °C
L009,12/19/16 9:58,5TM Moisture/Temp,0.119 m³/m³,8.1 °C
L009,1/3/17 9:33,5TM Moisture/Temp,0.116 m³/m³,7.0 °C
L009,1/9/17 12:23,5TM Moisture/Temp,0.117 m³/m³,6.1 °C
L009,1/17/17 10:51,5TM Moisture/Temp,0.121 m³/m³,5.1 °C
L009,1/23/17 9:31,5TM Moisture/Temp,0.126 m³/m³,5.3 °C
L009,1/30/17 8:46,5TM Moisture/Temp,0.119 m³/m³,5.8 °C
L009,2/6/17 10:51,5TM Moisture/Temp,0.127 m³/m³,5.9 °C
L009,2/13/17 11:09,5TM Moisture/Temp,0.119 m³/m³,6.8 °C
L009,2/27/17 9:51,5TM Moisture/Temp,0.120 m³/m³,7.6 °C
L009,3/6/17 15:22,5TM Moisture/Temp,0.122 m³/m³,7.5 °C
L009,3/13/17 14:56,5TM Moisture/Temp,0.125 m³/m³,8.2 °C
L009,3/20/17 14:41,5TM Moisture/Temp,0.128 m³/m³,9.3 °C
L009,3/27/17 14:00,5TM Moisture/Temp,0.129 m³/m³,9.5 °C
L009,4/3/17 13:46,5TM Moisture/Temp,0.122 m³/m³,10.0 °C
L009,4/10/17 14:41,5TM Moisture/Temp,0.120 m³/m³,10.4 °C
L009,4/17/17 12:47,5TM Moisture/Temp,0.125 m³/m³,10.3 °C
L009,4/24/17 14:54,5TM Moisture/Temp,0.129 m³/m³,11.1 °C
L009,5/1/17 14:52,5TM Moisture/Temp,0.130 m³/m³,11.3 °C
L009,5/8/17 15:02,5TM Moisture/Temp,0.126 m³/m³,12.4 °C
L010,12/22/14 12:41,5TM Moisture/Temp,0.158 m³/m³,13.0 °C
L010,12/29/14 14:28,5TM Moisture/Temp,0.292 m³/m³,10.0 °C
L010,1/5/15 15:21,5TM Moisture/Temp,0.216 m³/m³,8.3 °C
L010,1/12/15 13:41,5TM Moisture/Temp,0.204 m³/m³,8.3 °C
L010,1/20/15 14:53,5TM Moisture/Temp,0.231 m³/m³,8.5 °C
L010,1/26/15 12:51,5TM Moisture/Temp,0.225 m³/m³,8.6 °C
L010,2/2/15 12:47,5TM Moisture/Temp,0.220 m³/m³,9.0 °C
L010,2/10/15 14:33,5TM Moisture/Temp,0.234 m³/m³,9.7 °C
L010,2/17/15 12:31,5TM Moisture/Temp,0.223 m³/m³,9.9 °C
L010,2/23/15 13:40,5TM Moisture/Temp,0.221 m³/m³,9.8 °C
L010,3/2/15 12:40,5TM Moisture/Temp,0.218 m³/m³,9.3 °C
L010,3/9/15 13:41,5TM Moisture/Temp,0.217 m³/m³,9.3 °C
L010,3/16/15 12:58,5TM Moisture/Temp,0.228 m³/m³,10.3 °C
L010,3/23/15 12:27,5TM Moisture/Temp,0.224 m³/m³,10.8 °C
